N-Z,N,Z,A,BINDING_energy_per_nucleon(keV),Uncertainty(keV),A^(2/3),A^(-1/3),P,I,B_exp(MeV),B_LDM(MeV),LDM_residual(MeV),D,Sn_exp(MeV),Sp_exp(MeV),S2n_exp(MeV),S2p_exp(MeV)
2,11,9,20,7720.1351,0.0,7.368062997280773,0.36840314986403866,-1.0,0.09999999999999998,154.40270200000003,155.22551445971885,-0.8228124597188184,0.75,6.601337200000046,10.639293200000026,17.03321260000004,
0,10,10,20,8032.2412,0.0,7.368062997280773,0.36840314986403866,1.0,0.0,160.64482400000003,161.84592283889694,-1.201098838896911,1.0,16.86530510000003,12.84345920000004,28.50218540000003,20.83705820000003
-2,9,11,20,7298.5028,1.1,7.368062997280773,0.36840314986403866,-1.0,-0.10000000000000009,145.970056,146.20320700711986,-0.23315100711985792,0.75,14.150214399999982,2.1905371000000002,,8.600566600000008
-4,8,12,20,6728.0252,2.0,7.368062997280773,0.36840314986403866,1.0,-0.19999999999999996,134.560504,132.67534695099565,1.8851570490043628,0.0,,2.740662399999991,,2.417865400000011
5,13,8,21,7389.3747,12.8,7.611662611020244,0.3624601243342974,0.0,0.23809523809523814,155.1768687,153.00573115529687,2.1711375447031287,0.0,3.8054547000000127,,11.413459899999992,
3,12,9,21,7738.2934,1.9,7.611662611020244,0.3624601243342974,0.0,0.1428571428571429,162.5041614,163.23254202768717,-0.7283806276871871,0.8,8.101459399999953,11.1327474,14.7027966,
1,11,10,21,7971.7136,0.0,7.611662611020244,0.3624601243342974,0.0,0.04761904761904767,167.4059856,168.9871464660905,-1.5811608660904994,1.2,6.76116159999998,13.003283599999975,23.62646670000001,23.6425768
-1,10,11,21,7765.5581,0.0,7.611662611020244,0.3624601243342974,0.0,-0.04761904761904767,163.07672010000002,164.30206063608966,-1.2253405360896465,1.2,17.106664100000017,2.431896099999989,31.2568785,15.27535530000003
-3,9,12,21,7105.0317,0.8,7.611662611020244,0.3624601243342974,0.0,-0.1428571428571428,149.2056657,149.17575185930536,0.029913840694632654,0.8,14.645161699999989,3.2356096999999977,,5.426146799999998
6,14,8,22,7364.8722,61.1,7.851424410539689,0.3568829277518041,1.0,0.2727272727272727,162.02718839999997,158.50048376608697,3.526704633912999,0.0,6.850319699999972,,10.655774399999984,
4,13,9,22,7624.2954,13.3,7.851424410539689,0.3568829277518041,-1.0,0.18181818181818177,167.7344988,166.9770023781364,0.7574964218636069,0.8333333333333334,5.230337400000025,12.557630100000011,13.331796799999978,
2,12,10,22,8080.4656,0.0,7.851424410539689,0.3568829277518041,1.0,0.09090909090909094,177.7702432,178.81434055628281,-1.0440973562828049,1.3333333333333333,10.364257600000002,15.266081800000023,17.125419199999982,26.398829200000023
0,11,11,22,7915.6624,0.1,7.851424410539689,0.3568829277518041,-1.0,0.0,174.1445728,175.31389683808908,-1.169324038089087,1.5,11.067852699999975,6.738587199999984,28.174516799999992,19.74187079999996
-2,10,12,22,7662.7645,0.1,7.851424410539689,0.3568829277518041,1.0,-0.09090909090909083,168.58081900000002,169.10102061346853,-0.5202016134685152,1.3333333333333333,19.375153300000022,5.5040989000000025,34.02031500000001,7.935994999999991
7,15,8,23,7163.4856,130.6,8.087579399090064,0.35163388691695935,0.0,0.30434782608695654,164.76016879999997,159.97955022447994,4.780618575520037,0.0,2.7329804000000024,,9.583300099999974,
5,14,9,23,7622.3447,35.7,8.087579399090064,0.35163388691695935,0.0,0.21739130434782605,175.3139281,173.18965562052838,2.124272479471614,0.8571428571428571,7.579429299999987,13.286739700000027,12.809766700000011,
3,13,10,23,7955.2561,0.1,8.087579399090064,0.35163388691695935,0.0,0.13043478260869568,182.9708903,183.19583273950397,-0.22494243950396253,1.4285714285714286,5.200647099999998,15.236391499999996,15.5649047,27.794021600000008
1,12,11,23,8111.4936,0.0,8.087579399090064,0.35163388691695935,0.0,0.04347826086956519,186.5643528,187.55978691482488,-0.9954341148248886,1.7142857142857142,12.419780000000003,8.794109599999985,23.487632699999978,24.060191400000008
-1,11,12,23,7901.1229,0.0,8.087579399090064,0.35163388691695935,0.0,-0.04347826086956519,181.7258267,182.5344787525771,-0.8086520525770879,1.7142857142857142,13.14500769999998,7.581253900000007,32.520161,14.31984109999999
-3,10,13,23,7335.7275,0.3,8.087579399090064,0.35163388691695935,0.0,-0.13043478260869557,168.7217325,168.11863162020077,0.6031008797992286,1.4285714285714286,,0.14091349999998215,,5.645012399999985
6,15,9,24,7463.5831,104.8,8.320335292207616,0.3466806371753174,-1.0,0.25,179.1259944,176.150290730186,2.97570366981401,0.8333333333333334,3.812066299999998,14.365825600000022,11.391495599999985,
4,14,10,24,7993.3252,0.5,8.320335292207616,0.3466806371753174,1.0,0.16666666666666663,191.83980480000002,190.97378186991514,0.8660229300848812,1.5,8.868914500000017,16.525876700000026,14.069561600000014,29.812616400000053
2,13,11,24,8063.4882,0.0,8.320335292207616,0.3466806371753174,-1.0,0.08333333333333337,193.5237168,193.54480451728938,-0.021087717289390184,1.875,6.959363999999994,10.55282649999998,19.379143999999997,25.789217999999977
0,12,12,24,8260.7103,0.0,8.320335292207616,0.3466806371753174,1.0,0.0,198.25704720000002,198.4403582669559,-0.18331106695589483,2.0,16.531220500000018,11.692694400000022,29.676228199999997,20.486804000000006
-2,11,13,24,7649.5806,0.2,8.320335292207616,0.3466806371753174,-1.0,-0.08333333333333326,183.5899344,183.1611100223853,0.4288243776147169,1.875,14.868201900000003,1.8641077000000053,,9.445361600000012
-4,10,14,24,7167.2329,20.9,8.320335292207616,0.3466806371753174,1.0,-0.16666666666666674,172.01358960000002,170.20403959810977,1.8095500018902442,1.5,,3.2918571000000156,,3.432770599999998
7,16,9,25,7336.3065,103.5,8.549879733383484,0.3419951893353394,0.0,0.28,183.40766250000001,180.95066745817954,2.456995041820477,0.8,4.281668100000019,,8.093734400000017,
